session_name,recommendation_count,response_time_seconds,max_artist_repetition,max_genre_repetition,passed_response_time,passed_artist_diversity,passed_genre_diversity
Energetic Rock Session,5,0.0051,2,3,True,True,True
Calm Alternative Session,5,0.0182,2,3,True,True,True
Indie Discovery Session,5,0.0035,1,3,True,True,True
The Killers Session,5,0.0031,2,3,True,True,True
Radiohead Session,5,0.0032,2,3,True,True,True
MGMT Session,5,0.0032,2,3,True,True,True
Vance Joy Session,5,0.0031,2,3,True,True,True
Kings of Leon Session,5,0.0031,2,3,True,True,True
